Variable,Lag Length,Lag,ACF Value,ACF Conf Int Low,ACF Conf Int High,PACF Value,PACF Conf Int Low,PACF Conf Int High
3M TBill SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
3M TBill SA,5,1,-0.048531187,-0.186034967,0.186034967,-0.04897238,-0.186034967,0.186034967
3M TBill SA,5,2,-0.009261804,-0.186034967,0.186034967,-0.01185848,-0.186034967,0.186034967
3M TBill SA,5,3,-0.041600682,-0.186034967,0.186034967,-0.043915851,-0.186034967,0.186034967
3M TBill SA,5,4,0.050098309,-0.186034967,0.186034967,0.047760256,-0.186034967,0.186034967
3M TBill SA,5,5,0.046187228,-0.186034967,0.186034967,0.05258923,-0.186034967,0.186034967
3M TBill SA,5,6,-0.098201296,-0.186034967,0.186034967,-0.100437686,-0.186034967,0.186034967
3M TBill SA,5,7,0.064906879,-0.186034967,0.186034967,0.066132925,-0.186034967,0.186034967
3M TBill SA,5,8,-0.130574694,-0.186034967,0.186034967,-0.1383045,-0.186034967,0.186034967
3M TBill SA,5,9,-0.027859236,-0.186034967,0.186034967,-0.054961475,-0.186034967,0.186034967
3M TBill SA,5,10,0.129353265,-0.186034967,0.186034967,0.156690315,-0.186034967,0.186034967
3M TBill SA,5,11,-0.094947004,-0.186034967,0.186034967,-0.115366553,-0.186034967,0.186034967
3M TBill SA,5,12,-0.021063389,-0.186034967,0.186034967,-0.0323497,-0.186034967,0.186034967
3M TBill SA,5,13,-0.121109994,-0.186034967,0.186034967,-0.099868712,-0.186034967,0.186034967
3M TBill SA,5,14,-0.035437989,-0.186034967,0.186034967,-0.119407074,-0.186034967,0.186034967
3M TBill SA,5,15,-0.067237819,-0.186034967,0.186034967,-0.078681989,-0.186034967,0.186034967
3M TBill SA,5,16,0.011237852,-0.186034967,0.186034967,0.022363556,-0.186034967,0.186034967
3M TBill SA,5,17,-0.001085099,-0.186034967,0.186034967,-0.053276229,-0.186034967,0.186034967
3M TBill SA,5,18,-0.057001859,-0.186034967,0.186034967,-0.014118345,-0.186034967,0.186034967
3M TBill SA,5,19,0.038680727,-0.186034967,0.186034967,0.022253083,-0.186034967,0.186034967
3M TBill SA,5,20,-0.042711175,-0.186034967,0.186034967,-0.10674581,-0.186034967,0.186034967
US CPI SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
US CPI SA,5,1,-0.020513418,-0.186034967,0.186034967,-0.020699904,-0.186034967,0.186034967
US CPI SA,5,2,0.015899713,-0.186034967,0.186034967,0.015769722,-0.186034967,0.186034967
US CPI SA,5,3,0.093293211,-0.186034967,0.186034967,0.096606406,-0.186034967,0.186034967
US CPI SA,5,4,-0.026852352,-0.186034967,0.186034967,-0.024287013,-0.186034967,0.186034967
US CPI SA,5,5,0.054999914,-0.186034967,0.186034967,0.053819023,-0.186034967,0.186034967
US CPI SA,5,6,0.025367044,-0.186034967,0.186034967,0.020882255,-0.186034967,0.186034967
US CPI SA,5,7,0.063182456,-0.186034967,0.186034967,0.072587994,-0.186034967,0.186034967
US CPI SA,5,8,-0.186377696,-0.186034967,0.186034967,-0.214050812,-0.186034967,0.186034967
US CPI SA,5,9,-0.093907923,-0.186034967,0.186034967,-0.118362068,-0.186034967,0.186034967
US CPI SA,5,10,-0.050662146,-0.186034967,0.186034967,-0.075359108,-0.186034967,0.186034967
US CPI SA,5,11,-0.01588798,-0.186034967,0.186034967,0.026652611,-0.186034967,0.186034967
US CPI SA,5,12,-0.0816184,-0.186034967,0.186034967,-0.09587895,-0.186034967,0.186034967
US CPI SA,5,13,-0.029890007,-0.186034967,0.186034967,-0.01113915,-0.186034967,0.186034967
US CPI SA,5,14,0.098208392,-0.186034967,0.186034967,0.142502176,-0.186034967,0.186034967
US CPI SA,5,15,0.080733929,-0.186034967,0.186034967,0.189030128,-0.186034967,0.186034967
US CPI SA,5,16,-0.168800458,-0.186034967,0.186034967,-0.247375252,-0.186034967,0.186034967
US CPI SA,5,17,0.144990539,-0.186034967,0.186034967,0.124353217,-0.186034967,0.186034967
US CPI SA,5,18,-0.020999426,-0.186034967,0.186034967,-0.067659377,-0.186034967,0.186034967
US CPI SA,5,19,0.003444354,-0.186034967,0.186034967,0.051536945,-0.186034967,0.186034967
US CPI SA,5,20,0.034401201,-0.186034967,0.186034967,-0.12104327,-0.186034967,0.186034967
US IP SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
US IP SA,5,1,0.088900508,-0.186034967,0.186034967,0.089708695,-0.186034967,0.186034967
US IP SA,5,2,-0.087687825,-0.186034967,0.186034967,-0.098134175,-0.186034967,0.186034967
US IP SA,5,3,-0.004887986,-0.186034967,0.186034967,0.012801865,-0.186034967,0.186034967
US IP SA,5,4,-0.0917184,-0.186034967,0.186034967,-0.106562742,-0.186034967,0.186034967
US IP SA,5,5,0.085151528,-0.186034967,0.186034967,0.113162315,-0.186034967,0.186034967
US IP SA,5,6,0.019594698,-0.186034967,0.186034967,-0.02149379,-0.186034967,0.186034967
US IP SA,5,7,-0.192222542,-0.186034967,0.186034967,-0.1900979,-0.186034967,0.186034967
US IP SA,5,8,-0.257603407,-0.186034967,0.186034967,-0.267710959,-0.186034967,0.186034967
US IP SA,5,9,-0.059111463,-0.186034967,0.186034967,-0.041654862,-0.186034967,0.186034967
US IP SA,5,10,0.078770638,-0.186034967,0.186034967,0.048635999,-0.186034967,0.186034967
US IP SA,5,11,-0.057588481,-0.186034967,0.186034967,-0.135229183,-0.186034967,0.186034967
US IP SA,5,12,-0.041474183,-0.186034967,0.186034967,-0.062283954,-0.186034967,0.186034967
US IP SA,5,13,-0.029151988,-0.186034967,0.186034967,-0.015451128,-0.186034967,0.186034967
US IP SA,5,14,-0.020077778,-0.186034967,0.186034967,-0.04018227,-0.186034967,0.186034967
US IP SA,5,15,0.03977289,-0.186034967,0.186034967,-0.111761191,-0.186034967,0.186034967
US IP SA,5,16,-0.057435183,-0.186034967,0.186034967,-0.200492492,-0.186034967,0.186034967
US IP SA,5,17,0.101548362,-0.186034967,0.186034967,0.148751131,-0.186034967,0.186034967
US IP SA,5,18,0.111383201,-0.186034967,0.186034967,0.113465897,-0.186034967,0.186034967
US IP SA,5,19,0.031336122,-0.186034967,0.186034967,-0.032697212,-0.186034967,0.186034967
US IP SA,5,20,0.008618843,-0.186034967,0.186034967,-0.092071377,-0.186034967,0.186034967
US Unemployment SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
US Unemployment SA,5,1,-0.06960362,-0.186034967,0.186034967,-0.07023638,-0.186034967,0.186034967
US Unemployment SA,5,2,-0.094309545,-0.186034967,0.186034967,-0.101473729,-0.186034967,0.186034967
US Unemployment SA,5,3,-0.011194507,-0.186034967,0.186034967,-0.026464315,-0.186034967,0.186034967
US Unemployment SA,5,4,-0.173455573,-0.186034967,0.186034967,-0.195768468,-0.186034967,0.186034967
US Unemployment SA,5,5,4.91E-05,-0.186034967,0.186034967,-0.036459486,-0.186034967,0.186034967
US Unemployment SA,5,6,-0.027747859,-0.186034967,0.186034967,-0.078375364,-0.186034967,0.186034967
US Unemployment SA,5,7,-0.014474344,-0.186034967,0.186034967,-0.041932434,-0.186034967,0.186034967
US Unemployment SA,5,8,-0.158615574,-0.186034967,0.186034967,-0.241016196,-0.186034967,0.186034967
US Unemployment SA,5,9,0.272205863,-0.186034967,0.186034967,0.268344326,-0.186034967,0.186034967
US Unemployment SA,5,10,0.063733445,-0.186034967,0.186034967,0.038014701,-0.186034967,0.186034967
US Unemployment SA,5,11,-0.085771295,-0.186034967,0.186034967,-0.047037017,-0.186034967,0.186034967
US Unemployment SA,5,12,-0.067538536,-0.186034967,0.186034967,-0.166327682,-0.186034967,0.186034967
US Unemployment SA,5,13,-0.078091058,-0.186034967,0.186034967,0.004988806,-0.186034967,0.186034967
US Unemployment SA,5,14,0.038738877,-0.186034967,0.186034967,0.013692877,-0.186034967,0.186034967
US Unemployment SA,5,15,-0.007096942,-0.186034967,0.186034967,-0.030955738,-0.186034967,0.186034967
US Unemployment SA,5,16,-0.074189996,-0.186034967,0.186034967,-0.195819087,-0.186034967,0.186034967
US Unemployment SA,5,17,-0.070360262,-0.186034967,0.186034967,-0.022485771,-0.186034967,0.186034967
US Unemployment SA,5,18,0.070452823,-0.186034967,0.186034967,-0.008458488,-0.186034967,0.186034967
US Unemployment SA,5,19,0.080535833,-0.186034967,0.186034967,0.015046056,-0.186034967,0.186034967
US Unemployment SA,5,20,-0.069595213,-0.186034967,0.186034967,-0.189864109,-0.186034967,0.186034967
USDebt SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
USDebt SA,5,1,-0.050726291,-0.186034967,0.186034967,-0.051187439,-0.186034967,0.186034967
USDebt SA,5,2,0.014590926,-0.186034967,0.186034967,0.012270647,-0.186034967,0.186034967
USDebt SA,5,3,-0.034749071,-0.186034967,0.186034967,-0.03443036,-0.186034967,0.186034967
USDebt SA,5,4,-0.074794344,-0.186034967,0.186034967,-0.081622472,-0.186034967,0.186034967
USDebt SA,5,5,-0.079896604,-0.186034967,0.186034967,-0.091945949,-0.186034967,0.186034967
USDebt SA,5,6,-0.035804084,-0.186034967,0.186034967,-0.047967771,-0.186034967,0.186034967
