Lag Length,AIC,BIC
1,12.875907141028362,13.87840409225668
2,12.886845676290758,14.758981456771203
3,12.877614157468756,15.62913815156793
4,12.076627770460444,15.717474473087801
5,11.995609971299709,16.535903822147404
6,11.949606304711278,17.399666679310517
7,12.272623652063913,18.64297001550537
8,11.985532812368945,19.286890041762657
9,11.953648075256705,20.19695195724202
10,11.361695031591749,20.5580979414504
11,10.41876013457777,20.579636903752284
12,10.186087071664856,21.323041050741022
13,9.028462322702376,21.153331647176625
14,5.882549007702915,19.007413074124266
15,2.387738478780239,16.52492463913002
