Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
0,1.0,1.0,1.0,3M TBill SA,3M TBill SA
1,0.48097930118002685,0.20881945761899956,0.7531391447410541,3M TBill SA,3M TBill SA
2,0.1686199867211971,-0.13331090923786282,0.470550882680257,3M TBill SA,3M TBill SA
3,0.16905056642779454,-0.12614376593683313,0.4642448987924222,3M TBill SA,3M TBill SA
4,0.4460401587204352,0.14540267529569578,0.7466776421451746,3M TBill SA,3M TBill SA
5,0.2326911923411095,-0.09558607423469359,0.5609684589169126,3M TBill SA,3M TBill SA
6,0.049861165433539675,-0.2971591046899095,0.3968814355569889,3M TBill SA,3M TBill SA
7,-0.03641570500498118,-0.39090913263979715,0.31807772262983475,3M TBill SA,3M TBill SA
8,-0.048369141560773196,-0.3939774408144094,0.29723915769286297,3M TBill SA,3M TBill SA
9,-0.11707614285151172,-0.44345073730387075,0.20929845160084729,3M TBill SA,3M TBill SA
10,-0.224876778137364,-0.5344220255592623,0.08466846928453431,3M TBill SA,3M TBill SA
11,-0.10561300574089366,-0.418897798852115,0.20767178737032765,3M TBill SA,3M TBill SA
12,-0.06258922242134496,-0.3567393968370776,0.2315609519943877,3M TBill SA,3M TBill SA
13,-0.0931180328167455,-0.3422447284224236,0.15600866278893263,3M TBill SA,3M TBill SA
14,-0.07245254685151477,-0.3027280763594245,0.15782298265639494,3M TBill SA,3M TBill SA
15,-0.024566153192972257,-0.25037979545576144,0.20124748906981693,3M TBill SA,3M TBill SA
16,0.006363133173228584,-0.2108246416698178,0.22355090801627497,3M TBill SA,3M TBill SA
17,-0.0009606748074075765,-0.20480150002883,0.20288015041401483,3M TBill SA,3M TBill SA
18,-0.05248286035364431,-0.25158272994062825,0.14661700923333962,3M TBill SA,3M TBill SA
19,-0.014873685879725086,-0.21121118814898684,0.18146381638953665,3M TBill SA,3M TBill SA
20,0.014011415986194375,-0.17633426363754512,0.20435709560993387,3M TBill SA,3M TBill SA
0,0.0,0.0,0.0,3M TBill SA,US CPI SA
1,0.27042482052733025,-0.8940680208257195,1.43491766188038,3M TBill SA,US CPI SA
2,-1.2150804506610944,-2.5325522090510617,0.10239130772887317,3M TBill SA,US CPI SA
3,0.03760987363952792,-1.310666234395762,1.3858859816748177,3M TBill SA,US CPI SA
4,0.8972776188246394,-0.40724902463824253,2.2018042622875216,3M TBill SA,US CPI SA
5,-0.17254443711155332,-1.5552061303012104,1.2101172560781035,3M TBill SA,US CPI SA
6,0.9870140036761825,-0.4239227832265562,2.3979507905789212,3M TBill SA,US CPI SA
7,-0.24942519369520647,-1.6260195286532102,1.127169141262797,3M TBill SA,US CPI SA
8,-1.1524605285932,-2.4191693017847022,0.1142482445983024,3M TBill SA,US CPI SA
9,-0.5440912520718414,-1.7619181603176304,0.6737356561739475,3M TBill SA,US CPI SA
10,-0.44635444256951906,-1.6067500755481179,0.7140411904090799,3M TBill SA,US CPI SA
11,-0.23589689753417523,-1.3287491196267798,0.8569553245584293,3M TBill SA,US CPI SA
12,0.35056549027386363,-0.7412145058410796,1.442345486388807,3M TBill SA,US CPI SA
13,-0.28746208206697277,-1.369339190328403,0.7944150261944575,3M TBill SA,US CPI SA
14,-0.12053099514209188,-1.1757302912196148,0.9346683009354311,3M TBill SA,US CPI SA
15,0.30626752344475605,-0.6908679048943318,1.303402951783844,3M TBill SA,US CPI SA
16,0.1025589026381412,-0.8761094598024064,1.0812272650786887,3M TBill SA,US CPI SA
17,0.43743824055288916,-0.5130597902255755,1.3879362713313537,3M TBill SA,US CPI SA
18,0.15469038362371798,-0.7151723653667197,1.0245531326141557,3M TBill SA,US CPI SA
19,-0.0925412108060409,-0.9339794798883913,0.7488970582763094,3M TBill SA,US CPI SA
20,-0.022957682709166705,-0.8533309997058693,0.807415634287536,3M TBill SA,US CPI SA
0,0.0,0.0,0.0,3M TBill SA,US IP SA
1,0.6324707626109487,-0.42546625835249885,1.6904077835743962,3M TBill SA,US IP SA
2,0.07186981969134348,-1.2046316402731367,1.3483712796558236,3M TBill SA,US IP SA
3,0.5076679373409096,-0.758091509690999,1.7734273843728183,3M TBill SA,US IP SA
4,0.49032174848493165,-0.7715860911210677,1.7522295880909309,3M TBill SA,US IP SA
5,-0.17409166399936815,-1.5189260850627417,1.1707427570640054,3M TBill SA,US IP SA
6,0.38375249775018316,-1.0453753174740539,1.8128803129744202,3M TBill SA,US IP SA
7,-0.9486183195892045,-2.316974054042037,0.41973741486362826,3M TBill SA,US IP SA
8,-1.4749143883912186,-2.806501601952421,-0.14332717483001622,3M TBill SA,US IP SA
9,-1.296316076577677,-2.6158813278172124,0.023249174661858385,3M TBill SA,US IP SA
10,-1.059201524630157,-2.3601302064500587,0.24172715718974458,3M TBill SA,US IP SA
11,-0.032732909503075835,-1.2706344495586857,1.2051686305525342,3M TBill SA,US IP SA
12,0.18679575918389782,-0.986824752222663,1.3604162705904586,3M TBill SA,US IP SA
13,0.45740136967061296,-0.6834498468901697,1.5982525862313957,3M TBill SA,US IP SA
14,0.7532610032698457,-0.3687258271238507,1.875247833663542,3M TBill SA,US IP SA
15,0.6214139493114765,-0.46739507111650513,1.7102229697394582,3M TBill SA,US IP SA
16,0.39772144636151446,-0.6733607686693004,1.4688036613923292,3M TBill SA,US IP SA
17,0.03479497977503895,-1.0093468954626121,1.0789368550126899,3M TBill SA,US IP SA
18,-0.13771528096463664,-1.1189086105700854,0.8434780486408122,3M TBill SA,US IP SA
19,-0.40128206544991984,-1.3496185858105616,0.5470544549107219,3M TBill SA,US IP SA
20,-0.2093785203699477,-1.1457015016397638,0.7269444608998683,3M TBill SA,US IP SA
0,0.0,0.0,0.0,3M TBill SA,US UE SA
1,-0.5520230484231332,-1.033562281046326,-0.07048381579994045,3M TBill SA,US UE SA
2,0.3117341220301175,-0.38046387179424634,1.0039321158544814,3M TBill SA,US UE SA
3,-0.08868426483665653,-0.7631616943770749,0.585793164703762,3M TBill SA,US UE SA
4,-0.14783011599404305,-0.7916952583149273,0.49603502632684116,3M TBill SA,US UE SA
5,0.464959233371744,-0.23852156007992725,1.1684400268234152,3M TBill SA,US UE SA
6,-0.2784807326203695,-1.0089932187277615,0.45203175348702257,3M TBill SA,US UE SA
7,0.046222257344581685,-0.663284939796922,0.7557294544860855,3M TBill SA,US UE SA
8,0.39085841230977786,-0.22495513383283455,1.0066719584523902,3M TBill SA,US UE SA
9,0.2227207177928077,-0.3562335928744176,0.8016750284600329,3M TBill SA,US UE SA
10,0.21555048883350642,-0.34276575512828317,0.7738667327952959,3M TBill SA,US UE SA
11,0.15640590063534962,-0.40586570150792245,0.7186775027786217,3M TBill SA,US UE SA
12,0.09583534271295366,-0.4562258396253952,0.6478965250513026,3M TBill SA,US UE SA
13,0.03708628775651315,-0.500973917626544,0.5751464931395702,3M TBill SA,US UE SA
14,0.03431691176778469,-0.4689937115691703,0.5376275351047397,3M TBill SA,US UE SA
15,-0.2626064478771851,-0.7485675243070231,0.22335462855265287,3M TBill SA,US UE SA
16,-0.24001026372872092,-0.7158521776075146,0.23583165015007285,3M TBill SA,US UE SA
17,-0.14884768663379025,-0.6105175121217797,0.3128221388541993,3M TBill SA,US UE SA
18,-0.19000957015469047,-0.6225420170018011,0.2425228766924202,3M TBill SA,US UE SA
19,0.1253644466373729,-0.28728461729081417,0.5380135105655599,3M TBill SA,US UE SA
20,0.13202094035591705,-0.2529122279610074,0.5169541086728415,3M TBill SA,US UE SA
0,0.0,0.0,0.0,3M TBill SA,USDebt SA
1,19.993903771468414,-38.768751427453296,78.75655897039013,3M TBill SA,USDebt SA
2,0.29788471621033974,-72.74835097509083,73.3441204075115,3M TBill SA,USDebt SA
3,-62.66014103248184,-134.7837205659033,9.463438500939638,3M TBill SA,USDebt SA
4,25.337905404671012,-45.62312266468707,96.2989334740291,3M TBill SA,USDebt SA
5,-40.27698758786262,-115.30247669589193,34.748501520166684,3M TBill SA,USDebt SA
6,49.99939109609832,-31.734652037955087,131.73343423015172,3M TBill SA,USDebt SA
7,18.3697920366004,-62.004439425216106,98.74402349841691,3M TBill SA,USDebt SA
8,-34.69423353911344,-98.70483323275798,29.316366154531096,3M TBill SA,USDebt SA
9,39.69251746268671,-23.800396913847408,103.18543183922083,3M TBill SA,USDebt SA
10,-46.31121421784367,-109.91948167245911,17.297053236771767,3M TBill SA,USDebt SA
11,17.757895388082652,-44.545428322790116,80.06121909895542,3M TBill SA,USDebt SA
12,16.8524387901897,-40.295139322309915,74.00001690268931,3M TBill SA,USDebt SA
13,-22.99064098308984,-76.54271510945755,30.561433143277867,3M TBill SA,USDebt SA
14,11.076366223404111,-39.67559796413998,61.82833041094821,3M TBill SA,USDebt SA
15,-13.131825939488314,-63.15105199679477,36.88740011781814,3M TBill SA,USDebt SA
16,7.501374434687611,-41.69768639392383,56.700435263299056,3M TBill SA,USDebt SA
17,14.880767778607312,-31.93912307599127,61.7006586332059,3M TBill SA,USDebt SA
18,-0.564378704503059,-44.90723157852597,43.77847416951986,3M TBill SA,USDebt SA
