Date,Value
9/30/1994,1.4
12/31/1994,0.8
3/31/1995,1.1
6/30/1995,1.2
9/30/1995,0.7
12/31/1995,0.8
3/31/1996,1.6
6/30/1996,1.2
9/30/1996,1
12/31/1996,1.4
3/31/1997,0.7
6/30/1997,0.4
9/30/1997,1
12/31/1997,0.6
3/31/1998,0.2
6/30/1998,0.8
9/30/1998,0.7
12/31/1998,0.9
3/31/1999,0.4
6/30/1999,1.2
9/30/1999,1.8
12/31/1999,1
3/31/2000,2.2
6/30/2000,1.2
9/30/2000,1.4
12/31/2000,1
3/31/2001,1.5
6/30/2001,1.6
9/30/2001,0.4
12/31/2001,-0.7
3/31/2002,1.1
6/30/2002,1.1
9/30/2002,1.2
12/31/2002,1
3/31/2003,2.1
6/30/2003,-0.8
9/30/2003,2
12/31/2003,0.4
3/31/2004,1.6
6/30/2004,1.8
9/30/2004,0.9
12/31/2004,1.9
3/31/2005,1.4
6/30/2005,0.6
9/30/2005,5.1
12/31/2005,-0.7
3/31/2006,1.6
6/30/2006,2.1
9/30/2006,1
12/31/2006,0.3
3/31/2007,2.2
6/30/2007,1.9
9/30/2007,1.3
12/31/2007,2.9
3/31/2008,2
6/30/2008,4
9/30/2008,1.4
12/31/2008,-7.5
3/31/2009,1.1
6/30/2009,2.3
9/30/2009,1.1
12/31/2009,1.5
3/31/2010,0
6/30/2010,-0.2
9/30/2010,1.1
12/31/2010,2.2
3/31/2011,2.6
6/30/2011,1.8
9/30/2011,1.8
12/31/2011,0.6
3/31/2012,1.6
6/30/2012,-0.3
9/30/2012,2.5
12/31/2012,0.2
3/31/2013,1.1
6/30/2013,0.2
9/30/2013,1.1
12/31/2013,1.2
3/31/2014,1.3
6/30/2014,1.2
9/30/2014,0.2
12/31/2014,-1.2
3/31/2015,-0.3
6/30/2015,1.7
9/30/2015,-0.2
12/31/2015,0.3
3/31/2016,0.3
6/30/2016,2.1
9/30/2016,1
12/31/2016,1.5
3/31/2017,1.3
6/30/2017,0.3
9/30/2017,2.3
12/31/2017,1.4
3/31/2018,1.8
6/30/2018,1.4
9/30/2018,1.2
12/31/2018,0.6
3/31/2019,1.5
6/30/2019,0.9
9/30/2019,1.2
12/31/2019,2.2
3/31/2020,-0.5
6/30/2020,-1.1
9/30/2020,2.9
12/31/2020,2.1
3/31/2021,2.9
6/30/2021,5.8
9/30/2021,3.2
12/31/2021,6.9
3/31/2022,6.7
6/30/2022,7.4
9/30/2022,1.3
12/31/2022,2.5
3/31/2023,2.9
6/30/2023,2.3
9/30/2023,3.3
12/31/2023,1.5
