Date,Value
9/30/1994,45.8
12/31/1994,-29.9
3/31/1995,39.7
6/30/1995,-32.8
9/30/1995,36.1
12/31/1995,-73.1
3/31/1996,71.8
6/30/1996,-27.3
9/30/1996,35.8
12/31/1996,4.7
3/31/1997,-78.2
6/30/1997,59.5
9/30/1997,-22.1
12/31/1997,5
3/31/1998,-17.8
6/30/1998,9.9
9/30/1998,-7.5
12/31/1998,106.4
3/31/1999,-156.7
6/30/1999,109.1
9/30/1999,-87.3
12/31/1999,67
3/31/2000,-78.4
6/30/2000,94.5
9/30/2000,4.8
12/31/2000,-65.8
3/31/2001,-19.8
6/30/2001,64.6
9/30/2001,-8.1
12/31/2001,29.3
3/31/2002,-63
6/30/2002,124.1
9/30/2002,-138.8
12/31/2002,-20.9
3/31/2003,31.5
6/30/2003,69.1
9/30/2003,-85.2
12/31/2003,133.9
3/31/2004,-146
6/30/2004,168.2
9/30/2004,-292.5
12/31/2004,366.3
3/31/2005,-383.1
6/30/2005,105
9/30/2005,220.1
12/31/2005,-42.4
3/31/2006,65
6/30/2006,-387.1
9/30/2006,285.5
12/31/2006,-163.1
3/31/2007,188.1
6/30/2007,-94.9
9/30/2007,-298.7
12/31/2007,656.2
3/31/2008,-563.2
6/30/2008,311.4
9/30/2008,-112.7
12/31/2008,355.1
3/31/2009,-1000.9
6/30/2009,714.7
9/30/2009,179.3
12/31/2009,-194.2
3/31/2010,-91.5
6/30/2010,66.7
9/30/2010,153.3
12/31/2010,-249
3/31/2011,260.2
6/30/2011,-426.6
9/30/2011,345.9
12/31/2011,-82.8
3/31/2012,-60.2
6/30/2012,164.5
9/30/2012,-112
12/31/2012,-197.2
3/31/2013,335.7
6/30/2013,-174
9/30/2013,-125.8
12/31/2013,274.2
3/31/2014,6.9
6/30/2014,-240.6
9/30/2014,151.2
12/31/2014,-74.7
3/31/2015,-72.9
6/30/2015,324.1
9/30/2015,-376
12/31/2015,243.5
3/31/2016,-68.7
6/30/2016,-137.6
9/30/2016,225.8
12/31/2016,-138.8
3/31/2017,250.3
6/30/2017,-196.4
9/30/2017,-63.2
12/31/2017,105.7
3/31/2018,-80.5
6/30/2018,403.8
9/30/2018,-782.2
12/31/2018,313.8
3/31/2019,-44.9
6/30/2019,334.8
9/30/2019,-209.2
12/31/2019,30.4
3/31/2020,331
6/30/2020,-663.1
9/30/2020,131.5
12/31/2020,357.4
3/31/2021,25.6
6/30/2021,-311.2
9/30/2021,210.6
12/31/2021,-72.7
3/31/2022,201
6/30/2022,-631.6
9/30/2022,753.9
12/31/2022,-412.6
3/31/2023,17.8
6/30/2023,-395.9
9/30/2023,740.4
12/31/2023,-274.5
