Date,Value
9/30/1994,0.7
12/31/1994,1.7
3/31/1995,0.1
6/30/1995,0.5
9/30/1995,0.9
12/31/1995,0.3
3/31/1996,0.6
6/30/1996,1.9
9/30/1996,0.9
12/31/1996,1.1
3/31/1997,1.6
6/30/1997,0.9
9/30/1997,2.2
12/31/1997,1.7
3/31/1998,0.6
6/30/1998,0.3
9/30/1998,1.3
12/31/1998,0.9
3/31/1999,1.1
6/30/1999,0.7
9/30/1999,0.5
12/31/1999,2.4
3/31/2000,0.6
6/30/2000,0.9
9/30/2000,0
12/31/2000,-0.6
3/31/2001,-1.3
6/30/2001,-1.3
9/30/2001,-1.1
12/31/2001,-0.8
3/31/2002,1.3
6/30/2002,1.6
9/30/2002,0
12/31/2002,-0.2
3/31/2003,0.6
6/30/2003,-0.5
9/30/2003,0.9
12/31/2003,0.8
3/31/2004,0.4
6/30/2004,0.3
9/30/2004,0.9
12/31/2004,1.8
3/31/2005,0.9
6/30/2005,0.7
9/30/2005,-1.9
12/31/2005,2.7
3/31/2006,0.4
6/30/2006,0.7
9/30/2006,0.2
12/31/2006,0.9
3/31/2007,0.8
6/30/2007,0.7
9/30/2007,0.3
12/31/2007,0.3
3/31/2008,-0.8
6/30/2008,-1.6
9/30/2008,-6.3
12/31/2008,-2.9
3/31/2009,-4.1
6/30/2009,-1.8
9/30/2009,2.7
12/31/2009,0.8
3/31/2010,1.9
6/30/2010,1.8
9/30/2010,1
12/31/2010,0.7
3/31/2011,0.4
6/30/2011,0.1
9/30/2011,1
12/31/2011,1.2
3/31/2012,0.4
6/30/2012,0.9
9/30/2012,-0.3
12/31/2012,1
3/31/2013,0.9
6/30/2013,0.2
9/30/2013,0.8
12/31/2013,0.3
3/31/2014,1.4
6/30/2014,0.8
9/30/2014,0.4
12/31/2014,0.7
3/31/2015,-1.8
6/30/2015,-1.3
9/30/2015,0.2
12/31/2015,-1.7
3/31/2016,-0.7
6/30/2016,0.5
9/30/2016,-0.1
12/31/2016,0.4
3/31/2017,0
6/30/2017,1.3
9/30/2017,-0.6
12/31/2017,1.7
3/31/2018,0.8
6/30/2018,0.9
9/30/2018,0.9
12/31/2018,-0.1
3/31/2019,-1.2
6/30/2019,-0.3
9/30/2019,0
12/31/2019,-0.6
3/31/2020,-4.2
6/30/2020,-6.1
9/30/2020,4.3
12/31/2020,2.1
3/31/2021,0.2
6/30/2021,1.4
9/30/2021,-0.4
12/31/2021,1.8
3/31/2022,1.6
6/30/2022,0.2
9/30/2022,0.8
12/31/2022,-2
3/31/2023,1.2
6/30/2023,-0.4
9/30/2023,1
12/31/2023,-0.6
