Date,Value
9/30/1994,-0.2
12/31/1994,-0.4
3/31/1995,-0.1
6/30/1995,0.2
9/30/1995,0
12/31/1995,0
3/31/1996,-0.1
6/30/1996,-0.2
9/30/1996,-0.1
12/31/1996,0.2
3/31/1997,-0.2
6/30/1997,-0.2
9/30/1997,-0.1
12/31/1997,-0.2
3/31/1998,0
6/30/1998,-0.2
9/30/1998,0.1
12/31/1998,-0.2
3/31/1999,-0.2
6/30/1999,0.1
9/30/1999,-0.1
12/31/1999,-0.2
3/31/2000,0
6/30/2000,0
9/30/2000,-0.1
12/31/2000,0
3/31/2001,0.4
6/30/2001,0.2
9/30/2001,0.5
12/31/2001,0.7
3/31/2002,0
6/30/2002,0.1
9/30/2002,-0.1
12/31/2002,0.3
3/31/2003,-0.1
6/30/2003,0.4
9/30/2003,-0.2
12/31/2003,-0.4
3/31/2004,0.1
6/30/2004,-0.2
9/30/2004,-0.2
12/31/2004,0
3/31/2005,-0.2
6/30/2005,-0.2
9/30/2005,0
12/31/2005,-0.1
3/31/2006,-0.2
6/30/2006,-0.1
9/30/2006,-0.1
12/31/2006,-0.1
3/31/2007,0
6/30/2007,0.2
9/30/2007,0.1
12/31/2007,0.3
3/31/2008,0.1
6/30/2008,0.5
9/30/2008,0.5
12/31/2008,1.2
3/31/2009,1.4
6/30/2009,0.8
9/30/2009,0.3
12/31/2009,0.1
3/31/2010,0
6/30/2010,-0.5
9/30/2010,0.1
12/31/2010,-0.2
3/31/2011,-0.3
6/30/2011,0.1
9/30/2011,-0.1
12/31/2011,-0.5
3/31/2012,-0.3
6/30/2012,0
9/30/2012,-0.4
12/31/2012,0.1
3/31/2013,-0.4
6/30/2013,0
9/30/2013,-0.3
12/31/2013,-0.5
3/31/2014,0
6/30/2014,-0.6
9/30/2014,-0.2
12/31/2014,-0.3
3/31/2015,-0.2
6/30/2015,-0.1
9/30/2015,-0.3
12/31/2015,0
3/31/2016,0
6/30/2016,-0.1
9/30/2016,0.1
12/31/2016,-0.3
3/31/2017,-0.3
6/30/2017,-0.1
9/30/2017,0
12/31/2017,-0.2
3/31/2018,-0.1
6/30/2018,0
9/30/2018,-0.3
12/31/2018,0.2
3/31/2019,-0.1
6/30/2019,-0.2
9/30/2019,-0.1
12/31/2019,0.1
3/31/2020,0.8
6/30/2020,6.6
9/30/2020,-3.2
12/31/2020,-1.1
3/31/2021,-0.6
6/30/2021,-0.2
9/30/2021,-1.2
12/31/2021,-0.8
3/31/2022,-0.3
6/30/2022,0
9/30/2022,-0.1
12/31/2022,0
3/31/2023,0
6/30/2023,0.1
9/30/2023,0.2
12/31/2023,-0.1
