Date,Value
3/31/1994,-4.71
6/30/1994,-5.76
9/30/1994,-4.67
12/31/1994,0.57
3/31/1995,-6.76
6/30/1995,-4.21
9/30/1995,2.08
12/31/1995,-1.04
3/31/1996,2.87
6/30/1996,2.29
9/30/1996,-0.89
12/31/1996,1.92
3/31/1997,8.16
6/30/1997,0.63
9/30/1997,3.02
12/31/1997,1.29
3/31/1998,4.82
6/30/1998,1.85
9/30/1998,-3.58
12/31/1998,-8.4
3/31/1999,3.7
6/30/1999,4
9/30/1999,-3.7
12/31/1999,0.66
3/31/2000,3.9
6/30/2000,2.83
9/30/2000,2.51
12/31/2000,-1.67
3/31/2001,-0.72
6/30/2001,6.13
9/30/2001,-4.95
12/31/2001,3.42
3/31/2002,1.33
6/30/2002,-13.05
9/30/2002,-5.93
12/31/2002,-6.01
3/31/2003,-7.24
6/30/2003,-5.36
9/30/2003,0.03
12/31/2003,-11.84
3/31/2004,-3.85
6/30/2004,2.65
9/30/2004,-2.42
12/31/2004,-8.45
3/31/2005,1.65
6/30/2005,6.41
9/30/2005,2.67
12/31/2005,3.53
3/31/2006,-1.87
6/30/2006,-5.23
9/30/2006,1.32
12/31/2006,-1.63
3/31/2007,-1.53
6/30/2007,-2.42
9/30/2007,-4.687
12/31/2007,-3.972
3/31/2008,-3.251
6/30/2008,-3.057
9/30/2008,7.458
12/31/2008,4.057
3/31/2009,-0.651
6/30/2009,-7.107
9/30/2009,-3.478
12/31/2009,-0.801
3/31/2010,6.005
6/30/2010,5.169
9/30/2010,-8.401
12/31/2010,-3.906
3/31/2011,-4.01
6/30/2011,-3.106
9/30/2011,3.004
12/31/2011,5.899
3/31/2012,-0.137
6/30/2012,2.808
9/30/2012,-2.412
12/31/2012,-1.824
3/31/2013,2.277
6/30/2013,1.675
9/30/2013,-3.479
12/31/2013,-1.372
3/31/2014,-0.608
6/30/2014,-0.462
9/30/2014,5.543
12/31/2014,7.619
3/31/2015,10.206
6/30/2015,0.916
9/30/2015,-0.949
12/31/2015,3.531
3/31/2016,-5.209
6/30/2016,-1.315
9/30/2016,0.295
12/31/2016,7.438
3/31/2017,-1.35
6/30/2017,-5.422
9/30/2017,-4.172
12/31/2017,-1.153
3/31/2018,-3.246
6/30/2018,4.734
9/30/2018,1.357
12/31/2018,1.027
3/31/2019,0.572
6/30/2019,-0.475
9/30/2019,1.764
12/31/2019,-1.692
3/31/2020,0.725
6/30/2020,-1.968
9/30/2020,-5.022
12/31/2020,-3.069
3/31/2021,1.006
6/30/2021,2.267
9/30/2021,4.188
12/31/2021,2.608
3/31/2022,1.437
6/30/2022,8.495
9/30/2022,10.288
12/31/2022,-4.948
3/31/2023,-3.57
6/30/2023,-1.686
9/30/2023,2.733
12/31/2023,-2.649
