Date,Value
3/31/1994,45.4
6/30/1994,-14.1
9/30/1994,-7.7
12/31/1994,-0.1
3/31/1995,-13.8
6/30/1995,-5.7
9/30/1995,-8.9
12/31/1995,-6
3/31/1996,11.6
6/30/1996,-0.5
9/30/1996,45.1
12/31/1996,-1.2
3/31/1997,-24.2
6/30/1997,-18.4
9/30/1997,35
12/31/1997,3.8
3/31/1998,-24.7
6/30/1998,7.6
9/30/1998,0.2
12/31/1998,35.6
3/31/1999,-21.9
6/30/1999,36.5
9/30/1999,-66.6
12/31/1999,22.3
3/31/2000,-58.8
6/30/2000,47
9/30/2000,-4.6
12/31/2000,-9.9
3/31/2001,-39.5
6/30/2001,44.8
9/30/2001,-5.7
12/31/2001,-9.2
3/31/2002,94.3
6/30/2002,7.7
9/30/2002,-43.2
12/31/2002,16.2
3/31/2003,-28.3
6/30/2003,-4.7
9/30/2003,-43.7
12/31/2003,87.1
3/31/2004,-32.4
6/30/2004,142.7
9/30/2004,-171.8
12/31/2004,70.7
3/31/2005,1.8
6/30/2005,-105.3
9/30/2005,99.6
12/31/2005,-11.5
3/31/2006,30.4
6/30/2006,-94
9/30/2006,78.5
12/31/2006,-96.5
3/31/2007,64
6/30/2007,-14.8
9/30/2007,-69.7
12/31/2007,73.4
3/31/2008,-90.4
6/30/2008,147
9/30/2008,-9.6
12/31/2008,-4.8
3/31/2009,-22.7
6/30/2009,-150.6
9/30/2009,180.3
12/31/2009,-21.4
3/31/2010,-69.6
6/30/2010,-5.5
9/30/2010,94.7
12/31/2010,-26.2
3/31/2011,78
6/30/2011,-160.5
9/30/2011,98.2
12/31/2011,26.5
3/31/2012,-144.1
6/30/2012,70.8
9/30/2012,6.9
12/31/2012,-17.3
3/31/2013,-34.8
6/30/2013,-17.8
9/30/2013,-71.7
12/31/2013,-38.4
3/31/2014,44.8
6/30/2014,-46.7
9/30/2014,70.2
12/31/2014,-90
3/31/2015,8.9
6/30/2015,30.1
9/30/2015,-67.1
12/31/2015,120.6
3/31/2016,-23.2
6/30/2016,-87.5
9/30/2016,37.8
12/31/2016,49
3/31/2017,111.2
6/30/2017,29.5
9/30/2017,-82.2
12/31/2017,26.6
3/31/2018,-45.2
6/30/2018,253.4
9/30/2018,-220.3
12/31/2018,-62
3/31/2019,129.5
6/30/2019,-32.2
9/30/2019,-33.7
12/31/2019,86.9
3/31/2020,251.1
6/30/2020,-372.1
9/30/2020,-19.9
12/31/2020,67.9
3/31/2021,148.6
6/30/2021,-125.5
9/30/2021,-20.5
12/31/2021,-41.9
3/31/2022,166.2
6/30/2022,-151.7
9/30/2022,68.9
12/31/2022,-3.3
3/31/2023,67.7
6/30/2023,-3.8
9/30/2023,-136.6
12/31/2023,178.3
