Date,Value
3/31/1994,0.896666667
6/30/1994,0.51
9/30/1994,1.006666667
12/31/1994,0.32
3/31/1995,-0.173333333
6/30/1995,-0.253333333
9/30/1995,-0.04
12/31/1995,-0.44
3/31/1996,0.116666667
6/30/1996,0.086666667
9/30/1996,-0.07
12/31/1996,0.033333333
3/31/1997,0.246666667
6/30/1997,-0.09
9/30/1997,0.13
12/31/1997,-0.176666667
3/31/1998,0.036666667
6/30/1998,-0.063333333
9/30/1998,-0.33
12/31/1998,-0.296666667
3/31/1999,0.076666667
6/30/1999,0.406666667
9/30/1999,0.676666667
12/31/1999,-0.026666667
3/31/2000,0.54
6/30/2000,0.053333333
9/30/2000,-0.036666667
12/31/2000,-1.333333333
3/31/2001,-1.16
6/30/2001,-0.76
9/30/2001,-1.28
12/31/2001,-0.233333333
3/31/2002,0.01
6/30/2002,-0.073333333
9/30/2002,-0.273333333
12/31/2002,-0.223333333
3/31/2003,-0.096666667
6/30/2003,-0.096666667
9/30/2003,0.033333333
12/31/2003,-0.05
3/31/2004,0.193333333
6/30/2004,0.456666667
9/30/2004,0.546666667
12/31/2004,0.533333333
3/31/2005,0.446666667
6/30/2005,0.506666667
9/30/2005,0.56
12/31/2005,0.423333333
3/31/2006,0.456666667
6/30/2006,0.216666667
9/30/2006,-0.07
12/31/2006,-0.013333333
3/31/2007,0.006666667
6/30/2007,0.106666667
9/30/2007,-0.4
12/31/2007,-1.793333333
3/31/2008,-0.473333333
6/30/2008,0.3
9/30/2008,-0.24
12/31/2008,-1.733333333
3/31/2009,-0.466666667
6/30/2009,-0.316666667
9/30/2009,-0.076666667
12/31/2009,-0.016666667
3/31/2010,0.216666667
6/30/2010,-0.086666667
9/30/2010,-0.056666667
12/31/2010,0.003333333
3/31/2011,-0.063333333
6/30/2011,0.066666667
9/30/2011,0.136666667
12/31/2011,-0.093333333
3/31/2012,-0.03
6/30/2012,-0.033333333
9/30/2012,-0.033333333
12/31/2012,-0.013333333
3/31/2013,-0.023333333
6/30/2013,-0.073333333
9/30/2013,0.003333333
12/31/2013,-0.003333333
3/31/2014,-0.01
6/30/2014,0.013333333
9/30/2014,0.006666667
12/31/2014,0.016666667
3/31/2015,0.003333333
6/30/2015,0.086666667
9/30/2015,0.123333333
12/31/2015,0.19
3/31/2016,0.003333333
6/30/2016,0.143333333
9/30/2016,0.066666667
12/31/2016,0.15
3/31/2017,0.163333333
6/30/2017,0.16
9/30/2017,0.133333333
12/31/2017,0.456666667
3/31/2018,0.353333333
6/30/2018,0.016666667
9/30/2018,0.34
12/31/2018,-0.02
3/31/2019,-0.116666667
6/30/2019,-0.3
9/30/2019,-0.3
12/31/2019,-0.273333333
3/31/2020,-1.345
6/30/2020,-0.031666667
9/30/2020,-0.003333333
12/31/2020,-0.033333333
3/31/2021,-0.016666667
6/30/2021,0
9/30/2021,0.04
12/31/2021,0.303333333
3/31/2022,0.926666667
6/30/2022,1.453333333
9/30/2022,1.45
12/31/2022,0.48
3/31/2023,0.38
6/30/2023,0.293333333
9/30/2023,-0.03
12/31/2023,-0.14
